profile_id,sub_profile_type,service_ids_json,commonCaregiverProfile_id,commonCaregiverProfile_repeatClientsCount,commonCaregiverProfile_merchandizedJobInterests_flags_json
000331d9-4890-44d1-b81b-8a6de800d5fa,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""TUTORING""]",33064741,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping""]"
00084074-8a3c-4387-9933-2bda891d08c3,commonCaregiverProfile,"[""CHILD_CARE""]",34050195,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping""]"
000d5a64-a069-456f-9e20-cf6ea3274c41,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",30718752,0.0,[]
001d6b81-4ddb-4f07-a89b-4191a6842a88,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",20657879,0.0,"[""petHelp""]"
00276344-8a0e-4b00-b6a5-92b24b6d9a91,commonCaregiverProfile,"[""CHILD_CARE""]",35057269,0.0,[]
0031f7f0-0b55-476c-bff7-e01388e5f45b,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",35215617,0.0,[]
0033734b-bccc-4d35-94f6-e79abc15cf52,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",30441943,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping""]"
003927fa-44ae-4932-b756-06f1dbc7efea,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",35200783,0.0,"[""lightCleaning"", ""mealPrepLaundry"", ""petHelp""]"
003d5958-26c1-4868-9dda-bd0a942d9c17,commonCaregiverProfile,"[""CHILD_CARE""]",13575828,0.0,"[""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
00449647-2130-4fc1-844e-82c8f1c59ebb,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",26414002,0.0,[]
00474798-fea2-48e5-ada1-a023c43d64f0,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",19385812,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping""]"
004c96db-269a-412c-8181-7384f35436db,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",33429555,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp"", ""shopping""]"
004d5076-4fc4-4800-85b0-c84e3b63c963,commonCaregiverProfile,"[""HOUSEKEEPING"", ""PET_CARE""]",,0.0,[]
005b410e-c4ee-4c30-b72d-19afae1709af,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",36271906,0.0,[]
005f82f1-ac16-4d4c-99d4-f8c5f0221e41,commonCaregiverProfile,"[""CHILD_CARE""]",33279990,0.0,[]
00777d9e-ed9a-48c3-b092-0e01da1f8faa,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""TUTORING""]",34576533,0.0,[]
0078b6ca-681b-491d-aed0-936d52bec722,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",34694505,0.0,[]
008d9f4d-3cd5-4555-98f2-7bd8a8ae720d,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",33848839,0.0,[]
008efc42-1600-4158-a94d-c02452be4dec,commonCaregiverProfile,"[""SENIOR_CARE""]",36091395,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping""]"
00a46055-4456-4d2c-ba24-697dcc32b91e,commonCaregiverProfile,"[""CHILD_CARE""]",26607446,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
00ab5254-ac58-423f-90b1-fc7de7eded93,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",35810880,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""petHelp"", ""shopping""]"
00af3b6a-d9e3-49e1-acbf-d3f83eb96fe3,commonCaregiverProfile,"[""CHILD_CARE""]",26892858,0.0,[]
00b43e2e-9314-4943-a34d-da654757f92b,commonCaregiverProfile,"[""HOUSEKEEPING""]",,0.0,"[""companionCare"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping""]"
00b6d719-6c55-4cb9-a622-8aa2ad413bb7,commonCaregiverProfile,"[""CHILD_CARE""]",31321600,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp"", ""shopping""]"
00c57aa2-7e71-45c1-8934-973cd5037e44,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",28328955,0.0,[]
00c8d129-5381-401e-8cdb-f300b5e977c4,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
00c91565-31f5-4e82-9a3e-46467f2d9eb2,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
00d695ec-cd5a-4f70-8778-9441fe1ab881,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",18781284,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping""]"
00ee49b5-b8ce-46ca-822f-d8ac35c926d6,commonCaregiverProfile,"[""CHILD_CARE""]",22140742,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping""]"
00f137b4-bdd3-4fd8-b968-6d97296a2b94,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",12049818,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping""]"
00f5c001-0b73-4e9e-96ad-249020df3527,commonCaregiverProfile,"[""CHILD_CARE""]",34564071,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant""]"
00f62221-0e91-4aaa-acff-7512d577eb52,commonCaregiverProfile,"[""CHILD_CARE""]",8067649,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
00fbee64-3a81-4c08-8d39-8c6ed7de63dd,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",34853596,0.0,"[""dateNight"", ""lightCleaning""]"
0107c782-ca0c-4395-9976-2f6f4ca542d1,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",34659796,0.0,[]
0108873a-d2a8-460c-bae8-2f0307f0b93b,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",31607810,0.0,"[""mealPrepLaundry"", ""petHelp""]"
01088b59-f6d6-4056-8b9d-8eb1914f8841,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",35168016,0.0,[]
01202b07-cb3a-4e16-ae08-302f0a9c51e6,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",31620205,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp""]"
0126e6b7-8af5-4478-b0cb-95f7821bc8eb,commonCaregiverProfile,"[""CHILD_CARE""]",36154456,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""shopping"", ""transportation""]"
012c6bba-f7cd-4782-901b-ef3f27f14763,commonCaregiverProfile,"[""CHILD_CARE""]",30615449,0.0,[]
012d53dc-4583-49e8-8ca0-720df74d1d0c,commonCaregiverProfile,"[""CHILD_CARE""]",8699395,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp""]"
012eba16-5c32-407b-811d-eb9256376494,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",31975366,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""transportation""]"
013f28fd-f205-4b14-ac76-6b3feb7fb13d,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
014f32f6-6ee1-4323-b033-c80a245e55e4,commonCaregiverProfile,"[""CHILD_CARE""]",29648733,0.0,"[""dateNight"", ""lightCleaning"", ""shopping""]"
0155d6eb-5e0b-4a25-9bbf-9d8066c8f24b,commonCaregiverProfile,"[""HOUSEKEEPING""]",,0.0,[]
015c74be-c0d2-4f2d-bb5a-948cae32939d,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",29147405,0.0,[]
0161f8aa-9aa0-4d22-87f2-3166326984fe,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
01705876-b104-4b01-a517-645dcb700472,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",35249216,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
01766aa9-6a67-4f0a-9105-1f039bded47a,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE""]",13722667,0.0,"[""companionCare"", ""lightCleaning"", ""personalAssistant"", ""petHelp""]"
01890e93-d381-4aa6-a5c2-1a221d39e074,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",31716626,0.0,[]
01905e6d-7f27-4b45-8cd1-c93d33262d2b,commonCaregiverProfile,"[""CHILD_CARE""]",35191494,0.0,[]
01a3b06c-ad92-4248-864b-e611f349fe3c,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""SENIOR_CARE""]",29837106,0.0,"[""dateNight"", ""lightCleaning"", ""personalAssistant"", ""shopping"", ""transportation""]"
01a422be-f78f-4356-be6d-f3b2000552ec,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""shopping"", ""transportation""]"
01a542c0-894a-4fb0-b5ed-0491f5a8cf0a,commonCaregiverProfile,"[""CHILD_CARE""]",13248721,0.0,"[""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping"", ""transportation""]"
01ad0e6f-9893-492a-a59c-686153b9c695,commonCaregiverProfile,"[""CHILD_CARE""]",31928704,0.0,[]
01b21146-17ab-4845-a9e0-fe803e3209da,commonCaregiverProfile,"[""CHILD_CARE""]",34499502,0.0,"[""dateNight"", ""petHelp"", ""transportation""]"
01ba7b50-e4b2-439a-b9d7-67c461999312,commonCaregiverProfile,"[""CHILD_CARE""]",34637773,0.0,[]
01bb4457-e992-41fb-8a87-e2ee9d44c6eb,commonCaregiverProfile,"[""CHILD_CARE""]",26720001,0.0,"[""lightCleaning"", ""mover"", ""petHelp""]"
01ccff56-cd10-483f-babb-f60357c013ce,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
01dc7b86-1e14-476d-a96e-66b1c39c8872,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
01e3ba19-67b8-49f0-9f18-5c1cfbcbd95b,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
01e6b2ae-cab6-41df-b819-d79406bf96c7,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",33371696,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
01eaa4b5-c07d-4ce3-adde-33dcc129e761,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,"[""companionCare"", ""mealPrepLaundry"", ""shopping""]"
01ecfa30-1659-45f6-baee-5ab1f2e811bb,commonCaregiverProfile,"[""CHILD_CARE""]",32847695,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""petHelp""]"
01ee35c3-e71f-4bfc-aefa-4ed352891aa9,commonCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",21340019,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping""]"
01f0e9b6-dfce-4829-ae40-43c05c446836,commonCaregiverProfile,"[""CHILD_CARE""]",26948702,0.0,[]
01f42220-6bad-41c7-9484-d6a25d4d14eb,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",22837469,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp""]"
