profile_id,sub_profile_type,service_ids_json,seniorCareCaregiverProfile_approvalStatus,seniorCareCaregiverProfile_availabilityFrequency,seniorCareCaregiverProfile_bio_experienceSummary,seniorCareCaregiverProfile_bio_title,seniorCareCaregiverProfile_bio_flags_json,seniorCareCaregiverProfile_id,seniorCareCaregiverProfile_otherQualities_json,seniorCareCaregiverProfile_payRange_hourlyRateFrom,seniorCareCaregiverProfile_payRange_hourlyRateTo,seniorCareCaregiverProfile_payRange_flags_json,seniorCareCaregiverProfile_qualities_flags_json,seniorCareCaregiverProfile_recurringRate_hourlyRateFrom,seniorCareCaregiverProfile_recurringRate_hourlyRateTo,seniorCareCaregiverProfile_recurringRate_flags_json,seniorCareCaregiverProfile_supportedServices_flags_json,seniorCareCaregiverProfile_yearsOfExperience,seniorCareCaregiverProfile_payRange,seniorCareCaregiverProfile_recurringRate
000d5a64-a069-456f-9e20-cf6ea3274c41,seniorCareCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"Hello Jeannil here! 5 years of experience in senior care. Had the pleasure of working for my now deceased grandmother for 5 years. Was nothing short of a blessing. Had the opportunity of grooming, administering medication, running errands, light house keeping, meal prep and of course my all time favorite, long chats and endless laughter. I took great pride in caring for her and look forward to caring for other seniors who need the help and support.",,[],35179421,[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""cprTrained"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '20', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '25', '__typename': 'Money'}",[],"[""medicalManagement"", ""mealPreparation"", ""lightHousekeeping"", ""errands"", ""bathing""]",5.0,,
0031f7f0-0b55-476c-bff7-e01388e5f45b,seniorCareCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"hey, this is Antonia. 
I'm a very joyful, patient and lovely person. I've been taking care of adults since a few years ago. I love to talk, to learn and to meet new people. If you choose me, there will not be any concern about my job please if you have any job about me do not hesitate contact me. Have a good day",,[],35219470,[],"{'amount': '35', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '50', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '35', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '50', '__typename': 'Money'}",[],"[""medicalManagement"", ""mealPreparation"", ""lightHousekeeping"", ""liveInHomeCare"", ""errands""]",1.0,,
008efc42-1600-4158-a94d-c02452be4dec,seniorCareCaregiverProfile,"[""SENIOR_CARE""]",APPROVED,FULL_TIME,"I currently work with personal touch home care. I have been with them for a year but before then I worked as direct professional with mercy drive . I have experience with patience of diverse conditions ranging from stroke, dementia, diabetes, blind, ear impaired and other disabilities.
As a mother of 3 with a special child I know how important it is to care for children with special needs and normal needs as well as help and attention and make it fun as well so they are not frustrated and bored at the same time.

I am very dependable, flexible, timely, entertaining and hardworking and I do my best to make clients comfortable and happy .

I am an expert in what I do due to the training and knowledge I have acquired through experience and I passionate about my job.",,[],25315554,[],"{'amount': '14', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '19', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""alzheimersOrDementiaExperience"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '14', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '19', '__typename': 'Money'}",[],"[""personalCare"", ""lightHousekeeping"", ""dementia"", ""bathing""]",2.0,,
00c8d129-5381-401e-8cdb-f300b5e977c4,seniorCareCaregiverProfile,"[""SENIOR_CARE""]",APPROVED,FULL_TIME,My name is Dhanmattie people call me Ms. D. I have been a nanny and a caregiver for over 18 years. I'm more than capable to take care of you or your loved one.,,[],28165280,[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '20', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '25', '__typename': 'Money'}",[],[],10.0,,
00c91565-31f5-4e82-9a3e-46467f2d9eb2,seniorCareCaregiverProfile,"[""SENIOR_CARE""]",APPROVED,PART_TIME,"Compassionate caregiver with 20 years of experience working in assisted living facilities . Passionate about elder care, skilled at managing schedules and keeping clients as active as possible. Culturally sensitive with the ability to provide both physical and emotional support to the clients. Willing to transport clients to the appropriates and events.

I'd describe my personality as Responsible, honest and trustworthy 

I like caring for seniors because I like being able to guide people in a way that makes them feel like they are in control of their life.

My skills include meal preparation, patient care companionship",,[],34331333,[],"{'amount': '17', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""alzheimersOrDementiaExperience""]","{'currencyCode': 'USD', 'amount': '17', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '30', '__typename': 'Money'}",[],"[""transportation"", ""medicalManagement"", ""mealPreparation"", ""lightHousekeeping"", ""liveInHomeCare"", ""homeModification"", ""errands"", ""dementia"", ""bathing""]",3.0,,
00d695ec-cd5a-4f70-8778-9441fe1ab881,seniorCareCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"I am an experience care giver.
I love what I do,
I have worked with senior for 3years I love taking them out for walks, in the park reading to them 
helping them to get dress if they can't do it by them self cooking , for them reading doing laundry and anything else reasonable that is to be done like cleaning",,[],18780803,"[""Idid baby sitting /Nanny for the same family for 13 plus years""]","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '30', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '30', '__typename': 'Money'}",[],"[""personalCare"", ""liveInHomeCare"", ""homeHealth"", ""bathing""]",10.0,,
0108873a-d2a8-460c-bae8-2f0307f0b93b,seniorCareCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"I'm Gabriella R, a compassionate and dedicated professional with a strong background in senior care. With one year of experience providing attentive and empathetic support to seniors, l'am committed to enhancing their quality of life through personalized care and companionship.
My multilingual abilities in Italian, Spanish, and English allow me to effectively communicate with diverse individuals and their families, fostering a comfortable and inclusive environment. I am skilled in assisting with daily activities, medication management, and providing emotional support, all while respecting the dignity and preferences of those in my care.
I have a proven track record of reliability, patience, and a positive attitude, which helps create a nurturing and supportive atmosphere. My goal is to ensure that each senior receives the highest level of care and enjoys a fulfilling, comfortable life.",,[],35316109,[],"{'amount': '17', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '23', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '17', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '23', '__typename': 'Money'}",[],"[""mealPreparation"", ""lightHousekeeping"", ""errands""]",1.0,,
01202b07-cb3a-4e16-ae08-302f0a9c51e6,seniorCareCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",APPROVED,PART_TIME,"I love working with my grandfather who has dementia, and have worked for years in the theater with seniors as well as sung at multiple senior centers. I would love to help out with meals, cleaning, or be a companion for fun events like going out to lunch or seeing a show!",,[],35688189,[],"{'amount': '18', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '21', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""comfortableWithPets"", ""doesNotSmoke""]","{'currencyCode': 'USD', 'amount': '18', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '21', '__typename': 'Money'}",[],"[""mealPreparation"", ""lightHousekeeping"", ""errands""]",0.0,,
013f28fd-f205-4b14-ac76-6b3feb7fb13d,seniorCareCaregiverProfile,"[""SENIOR_CARE""]",APPROVED,PART_TIME,"I'd describe my personality as enjoy live 

I'm looking for a job that 

I started caring for seniors when I was as younger than I can remember 

In my spare time, I like to 

One thing you should know about me is 

My skills include",,[],35364395,[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""certifiedNursingAssistant""]","{'currencyCode': 'USD', 'amount': '20', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '30', '__typename': 'Money'}",[],"[""mobilityAssistance"", ""medicalManagement"", ""mealPreparation"", ""lightHousekeeping"", ""liveInHomeCare"", ""homeModification"", ""bathing""]",10.0,,
0161f8aa-9aa0-4d22-87f2-3166326984fe,seniorCareCaregiverProfile,"[""SENIOR_CARE""]",APPROVED,PART_TIME,"I'd describe my personality as Energetic, Polite, patient.

I like caring for seniors because it warms my heart to assist with giving them a better life and assistance, while they're still functioning. And I love putting smiles on their face

I'm looking for a job that wants, and needs someone, as dedicated and supportive as I will be. I'm going to make sure all needs are met.

I started caring for seniors when I was 16. I took care of my grandmother, who was my idol and rock. Officially I started getting paid 4-5 years ago and I enjoy it.

In my spare time, I like to travel with family, Play football, im also a professional football player(American football for team USA)

One thing you should know about me is im always on time, passionate about what I do and will fulfill whatever job im working.

My skills include CPR certified, medication management, appointment management, food consistencies prep.",,[],36083872,[],"{'amount': '22', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '26', 'currencyCode': 'USD', '__typename': 'Money'}",[],"[""cprTrained"", ""firstAidTraining""]","{'currencyCode': 'USD', 'amount': '22', '__typename': 'Money'}","{'currencyCode': 'USD', 'amount': '26', '__typename': 'Money'}",[],"[""medicalManagement"", ""mealPreparation"", ""lightHousekeeping"", ""homeModification"", ""errands"", ""bathing""]",4.0,,
