profile_id,sub_profile_type,service_ids_json,tutoringCaregiverProfile_approvalStatus,tutoringCaregiverProfile_availabilityFrequency,tutoringCaregiverProfile_bio_experienceSummary,tutoringCaregiverProfile_bio_title,tutoringCaregiverProfile_bio_flags_json,tutoringCaregiverProfile_id,tutoringCaregiverProfile_otherGeneralSubjects_json,tutoringCaregiverProfile_otherQualities_json,tutoringCaregiverProfile_payRange_hourlyRateFrom,tutoringCaregiverProfile_payRange_hourlyRateTo,tutoringCaregiverProfile_payRange_flags_json,tutoringCaregiverProfile_qualities_additionalDetails,tutoringCaregiverProfile_qualities_professionalSkills,tutoringCaregiverProfile_qualities_flags_json,tutoringCaregiverProfile_supportedServices_flags_json,tutoringCaregiverProfile_specificSubjects_json,tutoringCaregiverProfile_otherSpecificSubject,tutoringCaregiverProfile_yearsOfExperience
000331d9-4890-44d1-b81b-8a6de800d5fa,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""TUTORING""]",APPROVED,PART_TIME,"Polite and accommodating, bringing numerous years of experience in the caregiving. Sincere and helpful when working with families to promote satisfaction and loyalty. Knowledgeable about handling situations and activities with the little ones.
Skilled and successful at solving daily issues witl an efficient and professional attitude.
Demonstrated adapting to changing demands and learn new information quickly. Skilled in providing overtime hours coverage when needeo Goal-oriented eager to improve families satisfaction. Proficient in managing household functions. Excel in fast-paced environments with a hardworking mindset.
Attentive, lovingly committed to thoroughly listening to families requests or concerns and addressing with prompt responses. Dependable and punctual, commended for consistently arriving to work on time.
Positive and upbeat, successful at balancing families needs. Well-organized in managing and coordinating services with family members. Goo multitasking and much more.",,[],33527438,"[""English"", ""Foreign Language"", ""Math"", ""Science"", ""Special Education"", ""Test Prep"", ""Art""]",[],"{'amount': '23', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '31', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome""]",[],,10
00777d9e-ed9a-48c3-b092-0e01da1f8faa,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hello, my name is Lulu! With experience working as a summer camp counselor at an equestrian camp, I've gained skills in educating children aged 7-11. I provided hands-on horse riding lessons and class-style lessons on equestrian topics. I am passionate about enriching young minds and extremely fostering their academic and personal growth. I understand that every child has their own approach to learning. Thus, I tailor my teaching approach to suit individual learning styles, ensuring they grasp those difficult concepts with ease. I am excited to help your child excel this summer! Available until August 16th.",,[],34580902,"[""English"", ""Math"", ""Science"", ""Test Prep"", ""Art"", ""Musical Instruments""]",[],"{'amount': '20', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome"", ""tutorsOnline""]",[],,0
0078b6ca-681b-491d-aed0-936d52bec722,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hi there! I am an incoming masters student at Teachers College, Columbia University, where I will be studying educational technology in the fall. I obtained my undergraduate degree from Tufts University with a B. A. in both child development and film and media studies in 2021. Since then, I have worked for PBS as a member of their content team where I work closely with producers in creating educational children's media. I have extensive backgrounds with various curriculum topics, a keen understanding of child development, and genuinely love working with kids! I specialize in helping kids ages 2-10 with their reading and writing skills. In my spare time, I like to spend time with my dog, explore NYC parks and try new recipes! I am available most weekends, and generally have minimal work meetings on Monday and Friday, so I am quite flexible. Please feel free to reach out with any questions!",,[],34403312,"[""English"", ""Test Prep"", ""Music And Drama""]",[],"{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsOnline""]",[],,5
01088b59-f6d6-4056-8b9d-8eb1914f8841,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hey! I recently graduated from Fordham University. I was president of many organizations, along with volunteering in many communities in the surrounding areas. I have several years of experience tutoring young kids in numerous areas of academia. I am
adaptable to any situation, with a well-rounded background in every subject. I am very friendly and have younger siblings (one that is 5), so I have a lot of experience dealing with children. I would love to pass on the knowledge I have gained thus far, while continuing to grow alongside those under my care.",,[],35170007,"[""Business"", ""Computers"", ""English"", ""Math"", ""Science"", ""Test Prep"", ""Art"", ""Music And Drama""]",[],"{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '45', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': False, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,2
01ee35c3-e71f-4bfc-aefa-4ed352891aa9,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hello! I am Meghan R. I'm 24 and work in the financial district. 

I graduated with my MBA in May 2023, with a concentration in Markets, Organizations, and Sustainability from Manhattan College. I also received my undergraduate degree from Manhattan College graduating from the O'Malley School of Business, majoring in Marketing and minoring in Psychology. During my time at Manhattan, I was a captain on the Division 1 Manhattan College Women's Lacrosse Team. 

I have tutored students in elementary - middle school. I also have experience working 1:1 with special needs children. I focus mostly on English and History/Social Studies.",,[],34589307,"[""Business"", ""English"", ""Sports And Fitness""]",[],"{'amount': '40', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '70', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,2
024cb64f-7511-4469-9990-3513a75eba85,tutoringCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,Highly educated and former university professor who loves teaching tutoring and helping students succeed and thrive,,[],35026664,"[""Business"", ""Computers"", ""English"", ""Foreign Language"", ""Math"", ""Science"", ""Special Education"", ""Test Prep"", ""Art"", ""Dance"", ""Musical Instruments"", ""Music And Drama"", ""Sports And Fitness""]",[],"{'amount': '27', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '32', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,10
0295c109-7038-4f45-b2e0-fdfdfd3483e0,tutoringCaregiverProfile,"[""CHILD_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Columbia University student home for the summer looking for work. During the school year, I volunteer as a tutor at underserved schools in NYC. I'm a humanities major and a skilled writer, so I'm most experienced with English and humanities. I've also volunteered as an essay-reader for underserved students applying to University.",,[],34540455,"[""Business"", ""English"", ""Math""]",[],"{'amount': '24', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '29', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': False, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome""]",[],,2
02a9356e-84f2-41d5-b1df-428f9f4e036f,tutoringCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"I've been teaching in public school for almost 15 years this coming fall. I have a dual masters degree in education and special education. I am certified in elementary education and students with disabilities. I've many diversified experiences working in the public school setting. As well, I've been a tutor for several years now and the students I've worked with have had much success academically. Teaching is my second calling to being a mom. I love working with children and seeing them overcome their challenges and realize their own great potential.",,[],12133795,"[""English"", ""Math"", ""Science"", ""Special Education"", ""Test Prep""]",[],"{'amount': '40', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '50', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': True, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInTeachersHome"", ""tutorsOnline""]","[""MATH_SUBJECT_ELEMENTARY_SCHOOL_MATH"", ""ENGLISH_SUBJECT_GRAMMAR"", ""ENGLISH_SUBJECT_LANGUAGE_ARTS_K6"", ""ENGLISH_SUBJECT_LITERATURE"", ""ENGLISH_SUBJECT_READING"", ""ENGLISH_SUBJECT_WRITING"", ""SCIENCE_SUBJECT_ELEMENTARY_SCIENCE"", ""SCIENCE_SUBJECT_PSYCHOLOGY"", ""SPECIAL_EDUCATION_SUBJECT_ADD_ADHD"", ""SPECIAL_EDUCATION_SUBJECT_LEARNING_DISABLED"", ""SPECIAL_EDUCATION_SUBJECT_MILDLY_HANDICAPPED"", ""TEST_PREP_SUBJECT_3RD_GRADE_SOL"", ""TEST_PREP_SUBJECT_5TH_GRADE_SOL"", ""TEST_PREP_SUBJECT_ELEMENTARY_STANDARD_TESTING"", ""TEST_PREP_SUBJECT_GED""]",,10
0323e24b-b093-4a29-9839-25e520a8c433,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"Hi! I'm an actor based in the West Village with an MFA from NYU's Graduate Acting program (class of 2019). I've been babysitting for 10+ years on a part-time basis. At the moment, I assist an author and work as a leadership communication coach for various clients (consulting firms, investment banks, private equity, etc). I'd love to spend a few hours each week helping you out with what you need -- working as a personal assistant, dog-sitting, tutoring, early morning/after school pickups or helping with auditions or communication coaching. Looking forward to hearing from you!",,[],25779296,"[""English"", ""Foreign Language"", ""Music And Drama""]",[],"{'amount': '30', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '50', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome""]","[""ENGLISH_SUBJECT_GRAMMAR"", ""ENGLISH_SUBJECT_LANGUAGE_ARTS_K6"", ""ENGLISH_SUBJECT_LITERATURE"", ""ENGLISH_SUBJECT_READING"", ""ENGLISH_SUBJECT_WRITING"", ""FOREIGN_LANGUAGE_SUBJECT_SPANISH"", ""MUSIC_DRAMA_SUBJECT_DRAMA_THEATER""]",,0
0394c8cc-a808-4eac-94c5-8697e4131b4e,tutoringCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING"", ""TUTORING""]",APPROVED,PART_TIME,I have extensive experience with helping students with homework and helping them find different ways to approach a difficult problem. I am currently in a program for Early Childhood/Elementary Education studying to be able to effectively teach students how to become lifelong learners. I think it's important to never stop wanting to learn. I also think,,[],30455226,"[""English"", ""Math"", ""Science"", ""Test Prep""]",[],"{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '25', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': False, 'ownsTransportation': True, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInStudentsHome""]","[""MATH_SUBJECT_ELEMENTARY_SCHOOL_MATH"", ""MATH_SUBJECT_GEOMETRY"", ""ENGLISH_SUBJECT_GRAMMAR"", ""ENGLISH_SUBJECT_LANGUAGE_ARTS_K6"", ""ENGLISH_SUBJECT_LITERATURE"", ""ENGLISH_SUBJECT_READING"", ""ENGLISH_SUBJECT_WRITING"", ""SCIENCE_SUBJECT_ELEMENTARY_SCIENCE"", ""TEST_PREP_SUBJECT_ELEMENTARY_STANDARD_TESTING""]",,5
03ebbf7c-63b7-4228-a317-72f4aee8482f,tutoringCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""TUTORING""]",APPROVED,PART_TIME,"I have been tutoring multiple children of many different age groups on a variety of curriculums since I was in middle school. I have organized and led after-school tutoring programs, I worked as a 3rd grade teacher this past year, and I participated in the Relay Graduate School of Education masters program. Working with, educating, caring for, and spending time with children is my passion.",,[],35475936,"[""Computers"", ""English"", ""Math"", ""Science"", ""Test Prep"", ""Art"", ""Sports And Fitness""]",[],"{'amount': '60', 'currencyCode': 'USD', '__typename': 'Money'}","{'amount': '150', 'currencyCode': 'USD', '__typename': 'Money'}",[],"{'doesNotSmoke': True, 'isComfortableWithPets': True, 'ownsTransportation': False, '__typename': 'TutoringAdditionalDetailsQualities'}","{'americanTutoringAssociationCertified': False, 'certifiedTeacher': False, '__typename': 'TutoringProfessionalSkillsQualities'}",[],"[""tutorsInCenter"", ""tutorsInStudentsHome"", ""tutorsInTeachersHome"", ""tutorsOnline""]",[],,10
