profile_id,zip_code,sub_profile_type,service_ids_json,commonCaregiverProfile_id,commonCaregiverProfile_repeatClientsCount,commonCaregiverProfile_merchandizedJobInterests_flags_json
000ae5e3-3cec-4977-b59c-ac27d77226e3,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
005acbb8-7948-47bf-a1b6-0028dea69e62,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
005c670d-a036-45a9-b3fa-a13193ad8bb9,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
006b7c55-ed0a-4564-946e-6b2e01a16887,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34872692,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
008c4019-c028-42f4-b8c8-69f951a09daf,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",22675480,0.0,[]
00c912bd-6cd2-4b24-88d3-ecf918840200,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE""]",36179791,0.0,"[""dateNight"", ""lightCleaning"", ""mealPrepLaundry"", ""mover"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
00cc5ff2-46a9-48aa-a89d-0d16c78ae5d4,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",29464981,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""mover"", ""personalAssistant"", ""petHelp""]"
00d88c6e-8b74-4ba8-a600-aa0c879c882c,07008,commonCaregiverProfile,"[""CHILD_CARE""]",26332563,0.0,[]
01105d1c-eeee-45a5-857c-23781828fe47,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""PET_CARE"", ""SENIOR_CARE""]",648552,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
0110ea8f-839e-46d6-8990-5c03ffb32ea6,07008,commonCaregiverProfile,"[""HOUSEKEEPING""]",,0.0,[]
012d53dc-4583-49e8-8ca0-720df74d1d0c,07008,commonCaregiverProfile,"[""CHILD_CARE""]",8699395,0.0,"[""companionCare"", ""dateNight"", ""lightCleaning"", ""personalAssistant"", ""petHelp""]"
012e473f-789a-4889-9655-b4af36dae592,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",32199625,0.0,[]
01537f60-1e6b-40fa-9a90-fe346cb338d9,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""HOUSEKEEPING""]",35820805,0.0,[]
015c2307-0ed3-4061-b805-209582db5ee5,07008,commonCaregiverProfile,"[""CHILD_CARE""]",34749278,0.0,[]
01758243-668a-47f2-af75-787c0216278a,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",13130870,0.0,"[""lightCleaning"", ""personalAssistant"", ""petHelp"", ""shopping"", ""transportation""]"
01e3ba19-67b8-49f0-9f18-5c1cfbcbd95b,07008,commonCaregiverProfile,"[""SENIOR_CARE""]",,0.0,[]
01e79193-aa77-484d-a634-2473d19c29d6,07008,commonCaregiverProfile,"[""CHILD_CARE"", ""SENIOR_CARE""]",17939083,0.0,"[""companionCare"", ""lightCleaning"", ""mealPrepLaundry"", ""personalAssistant"", ""shopping""]"
