job_evaluation_criterion_pk,solicitation_id,criterion_name,criterion_stars
1,6122e8cd2ec2b7001d5167de,Qualidade da limpeza,5.0
2,6122e8cd2ec2b7001d5167de,Conduta Ética,5.0
3,6122e8cd2ec2b7001d5167de,Organização,5.0
4,6122e8cd2ec2b7001d5167de,Pontualidade,5.0
5,6122e8cd2ec2b7001d5167de,Disciplina e educação,5.0
6,64abf30366d0be001befe59b,Qualidade da limpeza,5.0
7,64abf30366d0be001befe59b,Conduta Ética,5.0
8,64abf30366d0be001befe59b,Organização,5.0
9,64abf30366d0be001befe59b,Pontualidade,5.0
10,64abf30366d0be001befe59b,Disciplina e educação,5.0
11,640628b638d302001bbabaf4,Qualidade da limpeza,5.0
12,640628b638d302001bbabaf4,Conduta Ética,5.0
13,640628b638d302001bbabaf4,Organização,5.0
14,640628b638d302001bbabaf4,Pontualidade,5.0
15,640628b638d302001bbabaf4,Disciplina e educação,5.0
16,625f50e3df677a001df0e008,Qualidade da limpeza,5.0
17,625f50e3df677a001df0e008,Conduta Ética,5.0
18,625f50e3df677a001df0e008,Organização,5.0
19,625f50e3df677a001df0e008,Pontualidade,5.0
20,625f50e3df677a001df0e008,Disciplina e educação,5.0
21,5f74e166adc997001ec68028,Qualidade da limpeza,5.0
22,5f74e166adc997001ec68028,Conduta Ética,5.0
23,5f74e166adc997001ec68028,Organização,5.0
24,5f74e166adc997001ec68028,Pontualidade,5.0
25,5f74e166adc997001ec68028,Disciplina e educação,5.0
26,6067168f1f9ce8001c084d1c,Qualidade da limpeza,5.0
27,6067168f1f9ce8001c084d1c,Conduta Ética,5.0
28,6067168f1f9ce8001c084d1c,Organização,5.0
29,6067168f1f9ce8001c084d1c,Pontualidade,5.0
30,6067168f1f9ce8001c084d1c,Disciplina e educação,5.0
31,64bfb9d71107f7001b637fb1,Qualidade da limpeza,5.0
32,64bfb9d71107f7001b637fb1,Conduta Ética,5.0
33,64bfb9d71107f7001b637fb1,Organização,5.0
34,64bfb9d71107f7001b637fb1,Pontualidade,5.0
35,64bfb9d71107f7001b637fb1,Disciplina e educação,5.0
36,64b9b22b61df19a6e9ca5dbf,Qualidade da limpeza,5.0
37,64b9b22b61df19a6e9ca5dbf,Conduta Ética,5.0
38,64b9b22b61df19a6e9ca5dbf,Organização,5.0
