profile_service_pk,profile_id,service_offered
1,573798b68c7e81f47727e655,Cozinhar
2,573798b68c7e81f47727e655,Faxinar
3,573798b68c7e81f47727e655,Limpeza Residencial
4,573798b68c7e81f47727e655,Organizar
5,573798b68c7e81f47727e657,Faxinar
6,573798b68c7e81f47727e657,Organizar
7,573798b68c7e81f47727e657,Lavar
8,573798b68c7e81f47727e657,Limpeza Residencial
9,573798b68c7e81f47727e657,Vidros e Fachadas
10,573798b68c7e81f47727e664,Lavar
11,573798b68c7e81f47727e664,Passar
12,573798b68c7e81f47727e664,Cozinhar
13,573798b68c7e81f47727e664,Faxinar
14,573cb0816b53b0030078089a,Faxinar
15,573cb0816b53b0030078089a,Organizar
16,5755ca00451591030041beb9,Passar
17,576f043f5929f1030016fe74,Faxinar
18,577346607c23e20300c8562c,Cozinhar
19,577346607c23e20300c8562c,Faxinar
20,577346607c23e20300c8562c,Lavar
21,577346607c23e20300c8562c,Passar
22,577346607c23e20300c8562c,Detalhamento Automotivo
23,577346607c23e20300c8562c,Limpeza Pós-Obra
24,577346607c23e20300c8562c,Organizar
25,577346607c23e20300c8562c,Limpeza Residencial
26,577346607c23e20300c8562c,Higienização e Impermeabilização de Estofados
27,5777296e6331620300d9bdaa,Cozinhar
28,5777296e6331620300d9bdaa,Passar
29,5777296e6331620300d9bdaa,Lavar
30,5777296e6331620300d9bdaa,Limpeza Pós-Obra
31,5777296e6331620300d9bdaa,Organizar
32,5777296e6331620300d9bdaa,Faxinar
33,5777296e6331620300d9bdaa,Limpeza Residencial
34,585844c234f2970400a054f5,Faxinar
35,585844c234f2970400a054f5,Passar
36,585844c234f2970400a054f5,Vidros e Fachadas
37,585844c234f2970400a054f5,Detalhamento Automotivo
38,585844c234f2970400a054f5,Limpeza Pós-Obra
39,585844c234f2970400a054f5,Pisos e Pedras Naturais
40,585844c234f2970400a054f5,Lavar
41,585f76257310df04007ab260,Cozinhar
42,585f76257310df04007ab260,Faxinar
43,585f76257310df04007ab260,Lavar
44,585f76257310df04007ab260,Passar
45,585f76257310df04007ab260,Organizar
46,59511896356f9504006f1615,Cozinhar
47,59511896356f9504006f1615,Faxinar
48,59511896356f9504006f1615,Lavar
49,59511896356f9504006f1615,Passar
50,5d699dd3c9e27504001b4cf3,Faxinar
51,5d699dd3c9e27504001b4cf3,Cozinhar
52,5d699dd3c9e27504001b4cf3,Lavar
53,5d699dd3c9e27504001b4cf3,Passar
54,5d699dd3c9e27504001b4cf3,Organizar
55,5e26cd12bb9ab6001cd04d00,Faxinar
56,5e26cd12bb9ab6001cd04d00,Lavar
57,5e26cd12bb9ab6001cd04d00,Cozinhar
58,5e333693226991001c09b0ab,Faxinar
59,5e395f0f22fd84001c017bfe,Cozinhar
60,5e395f0f22fd84001c017bfe,Lavar
61,5e395f0f22fd84001c017bfe,Passar
62,5e395f0f22fd84001c017bfe,Faxinar
63,5e395f0f22fd84001c017bfe,Organizar
64,5e3a1390385da5001c82d484,Faxinar
65,5e3a1390385da5001c82d484,Passar
66,5e3a1390385da5001c82d484,Lavar
67,5e3dafecadda8d001cce55e1,Lavar
68,5e3dafecadda8d001cce55e1,Faxinar
69,5e3dafecadda8d001cce55e1,Passar
70,5e3dafecadda8d001cce55e1,Organizar
71,5e3f092f3c3787001c4d7891,Faxinar
72,5e3f092f3c3787001c4d7891,Passar
73,5e42edd86893fa001c860d7b,Cozinhar
74,5e42edd86893fa001c860d7b,Faxinar
75,5e42edd86893fa001c860d7b,Passar
76,5e42edd86893fa001c860d7b,Lavar
77,5e468af2dce4bf001c6959a5,Faxinar
78,5e468af2dce4bf001c6959a5,Organizar
79,5e46f991b4b89a001cc3d7f7,Faxinar
80,5e46f991b4b89a001cc3d7f7,Lavar
81,5e46f991b4b89a001cc3d7f7,Organizar
82,5e470f2cb4b89a001cc3d84b,Cozinhar
83,5e470f2cb4b89a001cc3d84b,Lavar
84,5e470f2cb4b89a001cc3d84b,Faxinar
85,5e470f2cb4b89a001cc3d84b,Passar
86,5e47cc3fb4b89a001cc3d91d,Faxinar
87,5e47cc3fb4b89a001cc3d91d,Organizar
88,5e47cc3fb4b89a001cc3d91d,Passar
89,5e47cc3fb4b89a001cc3d91d,Lavar
