[2025-03-11 11:53:09] INFO - Log file initialized at: raw_data\USA\07008\search_of_housekeeping\onetime\scrape_onetime.log
[2025-03-11 11:53:09] INFO - Starting scraping for USA/07008, care_type='housekeeping', sub_type='onetime', pay range [0, 100].
[2025-03-11 11:53:09] INFO - Run ID: 82ee2f70-b404-4cbf-aeae-8cc2e8e004f7
[2025-03-11 11:53:09] INFO - Checking pay range [0, 100]...
[2025-03-11 11:53:12] INFO -   => totalHits = 454
[2025-03-11 11:53:12] INFO - Fetching data for pay range [0, 100]...
[2025-03-11 11:53:15] INFO -   - Page 1 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_1.json
[2025-03-11 11:53:15] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:17] INFO -   - Page 2 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_2.json
[2025-03-11 11:53:17] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:20] INFO -   - Page 3 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_3.json
[2025-03-11 11:53:20] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:22] INFO -   - Page 4 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_4.json
[2025-03-11 11:53:22] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:24] INFO -   - Page 5 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_5.json
[2025-03-11 11:53:24] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTUwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:26] INFO -   - Page 6 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_6.json
[2025-03-11 11:53:26] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTYwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:28] INFO -   - Page 7 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_7.json
[2025-03-11 11:53:28] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTcwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:31] INFO -   - Page 8 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_8.json
[2025-03-11 11:53:31] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTgwLFBhZ2VTY3JvbGxJZD00MjM4OGY5NzZkMzk0YzUyYWY0ZGYzMWZkZDM5ZmZlNw==
[2025-03-11 11:53:33] INFO -   - Page 9 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\onetime\range_0_100\page_9.json
