[2025-03-11 12:04:15] INFO - Log file initialized at: raw_data\USA\07008\search_of_housekeeping\recurring\scrape_recurring.log
[2025-03-11 12:04:15] INFO - Starting scraping for USA/07008, care_type='housekeeping', sub_type='recurring', pay range [0, 100].
[2025-03-11 12:04:15] INFO - Run ID: 444b02d2-8404-40c1-b71c-3ed4657e9b63
[2025-03-11 12:04:15] INFO - Checking pay range [0, 100]...
[2025-03-11 12:04:17] INFO -   => totalHits = 454
[2025-03-11 12:04:17] INFO - Fetching data for pay range [0, 100]...
[2025-03-11 12:04:20] INFO -   - Page 1 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_1.json
[2025-03-11 12:04:20] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:23] INFO -   - Page 2 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_2.json
[2025-03-11 12:04:23] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTIwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:25] INFO -   - Page 3 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_3.json
[2025-03-11 12:04:25] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTMwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:27] INFO -   - Page 4 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_4.json
[2025-03-11 12:04:27] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTQwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:30] INFO -   - Page 5 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_5.json
[2025-03-11 12:04:30] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTUwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:32] INFO -   - Page 6 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_6.json
[2025-03-11 12:04:32] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTYwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:34] INFO -   - Page 7 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_7.json
[2025-03-11 12:04:34] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTcwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:36] INFO -   - Page 8 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_8.json
[2025-03-11 12:04:36] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTgwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:39] INFO -   - Page 9 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_9.json
[2025-03-11 12:04:39] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTkwLFBhZ2VTY3JvbGxJZD02OWQzNjExZWRlZTQ0Yzk3YmFjN2NjMjNhYzY1M2NkYQ==
[2025-03-11 12:04:41] INFO -   - Page 10 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_10.json
[2025-03-11 12:04:41] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEwMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:43] INFO -   - Page 11 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_11.json
[2025-03-11 12:04:43] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTExMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:45] INFO -   - Page 12 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_12.json
[2025-03-11 12:04:45] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEyMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:48] INFO -   - Page 13 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_13.json
[2025-03-11 12:04:48] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTEzMCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
[2025-03-11 12:04:50] INFO -   - Page 14 => 10 caregivers, saved to raw_data\USA\07008\search_of_housekeeping\recurring\range_0_100\page_14.json
[2025-03-11 12:04:50] INFO -   - Next endCursor: U2VlZD0wLEluZGV4PTE0MCxQYWdlU2Nyb2xsSWQ9NjlkMzYxMWVkZWU0NGM5N2JhYzdjYzIzYWM2NTNjZGE=
